epoch,train_loss,train_acc,test_loss,test_acc,lr,time
1,1.2252,43.01,2.0372,40.38,0.010000,80.0
2,0.8587,54.44,1.3732,54.22,0.009755,81.6
3,0.7642,57.76,1.3803,51.93,0.009045,77.2
4,0.7166,59.29,1.2884,55.14,0.007939,77.6
5,0.6762,60.57,2.1740,41.66,0.006545,79.1
6,0.6397,61.92,1.0514,62.82,0.005000,79.7
7,0.6067,63.34,1.0473,64.15,0.003455,89.6
8,0.5796,64.16,0.9982,65.70,0.002061,107.6
9,0.5548,65.40,0.9398,67.30,0.000955,118.1
10,0.5311,66.29,0.9261,67.99,0.000245,119.2
