epoch,train_loss,train_acc,test_loss,test_acc,lr,time
1,1.5677,41.90,1.4698,46.73,0.010000,177.4
2,1.1573,58.40,1.4012,48.18,0.009938,170.8
3,1.0045,64.30,1.8219,48.38,0.009755,189.5
4,0.9216,67.81,1.0507,64.72,0.009455,226.0
5,0.8681,69.73,1.8074,49.78,0.009045,407.5
