epoch,train_loss,train_acc,test_loss,test_acc,lr,time
1,1.3084,41.43,1.3019,52.74,0.010000,72.8
2,0.9153,52.96,1.5660,47.86,0.009755,72.2
3,0.8157,56.33,1.1822,58.29,0.009045,72.4
4,0.7611,58.37,1.2222,57.40,0.007939,73.0
5,0.7258,59.46,1.2194,55.97,0.006545,83.2
6,0.6878,60.65,1.2039,57.75,0.005000,74.7
7,0.6589,61.90,1.2239,56.74,0.003455,73.8
8,0.6298,62.73,1.0886,62.21,0.002061,76.4
9,0.5994,64.30,0.9396,67.64,0.000955,75.5
10,0.5737,65.19,0.9635,66.59,0.000245,102.4
