epoch,train_loss,train_acc,test_loss,test_acc,lr,time
1,1.3553,42.17,1.3732,50.51,0.010000,88.1
2,0.9486,53.01,1.3974,52.45,0.009755,82.1
3,0.8258,56.84,1.4427,52.17,0.009045,81.2
4,0.7678,58.72,1.8801,45.79,0.007939,90.6
5,0.7353,59.91,1.1802,57.33,0.006545,83.8
6,0.6940,61.15,1.0786,62.48,0.005000,82.2
7,0.6613,62.43,1.1673,60.04,0.003455,104.6
8,0.6263,63.50,1.0859,62.44,0.002061,112.8
9,0.5991,65.22,0.9221,68.26,0.000955,124.2
10,0.5755,65.74,0.9241,67.77,0.000245,122.8
